iter	Passed	Remaining
544	45506	37991
545	45576	37896
546	45642	37798
547	45710	37702
548	45778	37606
549	45849	37512
550	45931	37429
551	46050	37374
552	46128	37286
553	46205	37197
554	46274	37102
555	46346	37010
556	46418	36918
557	46499	36832
558	46586	36752
559	46669	36669
560	46745	36579
561	46820	36490
562	46937	36432
563	47058	36378
564	47124	36281
565	47197	36189
566	47269	36098
567	47391	36044
568	47477	35962
569	47550	35871
570	47623	35780
571	47695	35688
572	47762	35592
573	47832	35499
574	47904	35407
575	47984	35322
576	48059	35232
577	48129	35139
578	48216	35059
579	48292	34970
580	48362	34877
581	48426	34780
582	48494	34686
583	48562	34592
584	48638	34504
585	48711	34414
586	48781	34321
587	48866	34239
588	48989	34184
589	49076	34103
590	49146	34012
591	49217	33919
592	49280	33823
593	49347	33729
594	49417	33636
595	49488	33546
596	49560	33455
597	49626	33361
598	49697	33270
599	49764	33176
600	49834	33084
601	49902	32991
602	49968	32898
603	50041	32808
604	50109	32715
605	50181	32626
606	50252	32535
607	50323	32445
608	50395	32355
609	50465	32264
610	50535	32174
611	50603	32081
612	50667	31987
613	50723	31888
614	50802	31803
615	50866	31708
616	50946	31624
617	51011	31531
618	51085	31443
619	51170	31362
620	51239	31271
621	51305	31179
622	51373	31088
623	51445	30999
624	51529	30917
625	51597	30826
626	51672	30739
627	51796	30682
628	51899	30611
629	51971	30522
630	52036	30430
631	52105	30339
632	52172	30248
633	52238	30156
634	52307	30066
635	52383	29980
636	52457	29893
637	52523	29801
638	52592	29712
639	52651	29616
640	52719	29526
641	52786	29435
642	52855	29345
643	52925	29256
644	52995	29167
645	53065	29079
646	53135	28990
647	53199	28898
648	53265	28807
649	53335	28719
650	53400	28628
651	53473	28541
652	53543	28452
653	53620	28368
654	53679	28274
655	53751	28186
656	53825	28100
657	53895	28012
658	53963	27923
659	54032	27835
660	54100	27745
661	54167	27656
662	54237	27568
663	54305	27480
664	54373	27391
665	54447	27305
666	54512	27215
667	54591	27132
668	54658	27043
669	54724	26953
670	54784	26861
671	54848	26771
672	54911	26680
673	54977	26591
674	55043	26502
675	55111	26414
676	55178	26325
677	55243	26236
678	55313	26149
679	55380	26061
680	55452	25975
681	55514	25885
682	55583	25798
683	55646	25707
684	55709	25618
685	55772	25528
686	55836	25439
687	55905	25352
688	55972	25264
689	56034	25174
690	56102	25088
691	56165	24998
692	56231	24910
693	56302	24825
694	56373	24739
695	56439	24651
696	56503	24563
697	56569	24475
698	56636	24388
699	56704	24301
700	56768	24213
701	56830	24124
702	56900	24039
703	56974	23955
704	57046	23870
705	57122	23787
706	57189	23700
707	57259	23615
708	57337	23533
709	57414	23450
710	57488	23367
711	57560	23282
712	57634	23199
713	57704	23114
714	57771	23027
715	57845	22944
716	57917	22860
717	57989	22775
718	58064	22692
719	58137	22608
720	58212	22526
721	58282	22441
722	58352	22356
723	58419	22270
724	58484	22183
725	58554	22099
726	58621	22013
727	58691	21928
728	58760	21843
729	58828	21758
730	58894	21672
731	58959	21586
732	59021	21499
733	59087	21413
734	59157	21328
735	59221	21242
736	59310	21165
737	59396	21086
738	59474	21005
739	59554	20924
740	59630	20842
741	59713	20762
742	59798	20683
743	59877	20603
744	59964	20524
745	60047	20445
746	60133	20366
747	60216	20286
748	60321	20214
749	60413	20137
750	60499	20058
751	60575	19977
752	60662	19898
753	60743	19818
754	60826	19738
755	60907	19658
756	60992	19578
757	61074	19498
758	61161	19420
759	61245	19340
760	61337	19263
761	61403	19178
762	61476	19095
763	61541	19010
764	61606	18924
765	61673	18840
766	61741	18755
767	61807	18670
768	61869	18584
769	61937	18500
770	62004	18416
771	62072	18332
772	62139	18247
773	62205	18163
774	62272	18079
775	62339	17994
776	62404	17910
777	62468	17825
778	62534	17740
779	62599	17656
780	62665	17571
781	62729	17487
782	62796	17403
783	62878	17323
784	62957	17243
785	63027	17160
786	63091	17075
787	63157	16991
788	63227	16908
789	63317	16831
790	63389	16748
791	63465	16667
792	63556	16590
793	63624	16507
794	63693	16424
795	63766	16342
796	63845	16261
797	63931	16183
798	63997	16099
799	64065	16016
800	64142	15935
801	64214	15853
802	64285	15771
803	64349	15687
804	64424	15605
805	64503	15525
806	64575	15443
807	64637	15359
808	64703	15276
809	64774	15193
810	64852	15113
811	64920	15030
812	64988	14948
813	65079	14870
814	65152	14789
815	65221	14706
816	65288	14624
817	65354	14540
818	65421	14458
819	65491	14376
820	65563	14294
821	65645	14215
822	65716	14133
823	65784	14050
824	65851	13968
825	65916	13885
826	65985	13803
827	66063	13723
828	66129	13640
829	66195	13558
830	66257	13474
831	66325	13392
832	66389	13309
833	66469	13230
834	66572	13154
835	66660	13076
836	66725	12994
837	66790	12911
838	66857	12829
839	66924	12747
840	66989	12664
841	67051	12582
842	67122	12500
843	67184	12418
844	67262	12338
845	67336	12257
846	67406	12176
847	67474	12094
848	67540	12012
849	67615	11932
850	67693	11852
851	67770	11772
852	67847	11692
853	67921	11611
854	67996	11531
855	68066	11450
856	68138	11369
857	68213	11289
858	68281	11208
859	68351	11126
860	68428	11047
861	68496	10965
862	68566	10884
863	68638	10804
864	68714	10724
865	68792	10644
866	68866	10564
867	68935	10483
868	69007	10402
869	69079	10322
870	69148	10241
871	69213	10159
872	69282	10078
873	69353	9998
874	69421	9917
875	69485	9835
876	69553	9754
877	69623	9674
878	69690	9593
879	69754	9511
880	69822	9431
881	69890	9350
882	69958	9269
883	70023	9188
884	70088	9107
885	70155	9026
886	70224	8946
887	70302	8867
888	70380	8787
889	70449	8707
890	70515	8626
891	70603	8548
892	70728	8474
893	70820	8397
894	70891	8316
895	70966	8237
896	71089	8162
897	71190	8086
898	71255	8005
899	71327	7925
900	71393	7844
901	71467	7764
902	71542	7685
903	71615	7605
904	71685	7525
905	71755	7444
906	71839	7366
907	72021	7297
908	72196	7227
909	72272	7147
910	72346	7067
911	72413	6987
912	72480	6906
913	72545	6825
914	72629	6747
915	72718	6668
916	72800	6589
917	72884	6510
918	72950	6429
919	73019	6349
920	73089	6269
921	73165	6189
922	73239	6109
923	73309	6029
924	73380	5949
925	73453	5869
926	73573	5793
927	73669	5715
928	73737	5635
